Annotee_Identifier	Human_Readable_Description
FBpp0234318	duf 4200 domain containing protein
FBpp0126988	zinc transporter foi
FBpp0248929	duf 4794 domain containing protein
FBpp0239409	protein af
FBpp0270917	duf 4219 domain containing protein
FBpp0230106	very long chain 3 oxoacyl coa reductase
FBpp0252162	flocculation protein flo
FBpp0139892	dynein assembly factor 5 axonemal
FBpp0084868	serine protease
FBpp0196701	btb poz domain containing protein 6
FBpp0181710	serine threonine kinase receptor associated protein
FBpp0153196	guanylate cyclase
FBpp0137162	protein af
FBpp0138154	major facilitator superfamily mfs profile domain containing protein
FBpp0171694	secreted protein
FBpp0291777	camp dependent protein kinase type i regulatory subunit
FBpp0193432	gm
FBpp0208225	rna directed dna polymerase
FBpp0126544	protein tsetseep domain containing
FBpp0232106	multiple epidermal growth factor domains protein
FBpp0185601	mitochondrial pyruvate carrier
FBpp0267316	endocuticle structural glycoprotein abd
FBpp0171658	zinc finger protein
FBpp0166538	proteasome subunit alpha type
GA12843-PA	rrm domain containing protein
FBpp0119227	madf domain containing protein
GA20707-PA	lariat debranching enzyme protein
FBpp0155209	protein lifeguard x1
FBpp0205219	mif cenp c cupin domain containing protein
FBpp0224744	glucosidase ii beta subunit n terminal domain containing protein
FBpp0248725	cg
FBpp0158951	histone h2b
FBpp0165012	duf 4794 domain containing protein
FBpp0140522	non specific serine threonine protein kinase
FBpp0428125	c2h2 type domain containing protein
FBpp0219546	kinesin motor domain containing protein
FBpp0152904	large ribosomal subunit protein el
FBpp0120244	glutathione s transferase
FBpp0221940	gd
FBpp0313900	death inducer obliterator
FBpp0250794	histone lysine n methyltransferase eggless
FBpp0255143	translation initiation factor if
FBpp0150072	homeobox domain containing protein
GA17346-PA	dopamine n acetyltransferase x1
FBpp0123486	heat shock protein 60a
FBpp0297716	protein tsetseep domain containing
FBpp0254019	protein strawberry notch
FBpp0128052	neurofilament heavy polypeptide x1
FBpp0134576	testicular haploid expressed gene protein
FBpp0159462	pair rule protein odd paired
FBpp0188133	ionotropic glutamate receptor c terminal domain containing protein
FBpp0243701	n terminal ras gef domain containing protein
FBpp0267709	aminoacyl trna synthase complex interacting multifunctional protein
FBpp0194398	cg
FBpp0149372	conserved oligomeric golgi complex subunit
FBpp0169818	spondin
FBpp0196246	gd
FBpp0233018	ring type e3 ubiquitin transferase
FBpp0174925	spondin
FBpp0198005	serpin domain containing protein
FBpp0194233	protein kinase c
FBpp0314567	udp glucuronosyltransferase
FBpp0201028	duf 243 domain containing protein
FBpp0174660	c2hc c3h type domain containing protein
FBpp0232910	nipsnap domain containing protein
FBpp0153748	adenylate kinase isoenzyme
FBpp0174004	duf 4794 domain containing protein
FBpp0202709	alpha carbonic anhydrase domain containing protein
FBpp0193902	gustatory receptor
FBpp0254731	non specific serine threonine protein kinase
FBpp0144027	thiamine transporter
FBpp0080196	duf 4550 domain containing protein
FBpp0196208	ribosome biogenesis regulatory protein
FBpp0428132	broad complex core protein isoforms 1 2 3 4 5
FBpp0221221	dynamin protein 1
FBpp0238540	nose resistant to fluoxetine protein
FBpp0193653	vhaac protein
FBpp0321796	methoprene tolerant
FBpp0125747	large ribosomal subunit protein el
FBpp0199534	peptidase s1 domain containing protein
FBpp0247719	integrase catalytic domain containing protein
FBpp0205456	glycine receptor subunit alpha
FBpp0232532	protein trunk
FBpp0111438	chitin binding type domain containing protein
FBpp0170350	gh
FBpp0322376	unknown protein
FBpp0133749	peptidase s1 domain containing protein
FBpp0319630	cilia and flagella associated protein x1
FBpp0253736	28s ribosomal protein s2 mitochondrial
FBpp0265815	lipocalin cytosolic fatty acid binding domain containing protein
FBpp0270477	ubiquitin domain containing protein
FBpp0120647	cellulase
FBpp0227212	rap guanine nucleotide exchange factor
FBpp0232475	defense protein l 2 34fc
FBpp0078895	kynurenine formamidase
FBpp0180227	g protein coupled receptors family profile domain containing
FBpp0141745	zinc finger protein
FBpp0180076	ras gtpase activating protein
FBpp0130477	procollagen proline 4 dioxygenase
FBpp0262116	rna 3 terminal phosphate cyclase protein
GA12722-PA	kif binding protein
FBpp0265383	39s ribosomal protein
FBpp0258446	muskelin n terminal domain containing protein
GA17369-PA	tsc domain family protein
FBpp0178028	lipase
FBpp0125218	serine threonine protein kinase phg x1
FBpp0144404	cgmp dependent protein kinase
FBpp0113447	vacuolar fusion protein ccz
FBpp0123514	transcription factor grauzone
FBpp0145689	coatomer subunit beta
FBpp0146344	protein with sprt domain at the n terminus
FBpp0168972	protein n terminal glutamine amidohydrolase
FBpp0182632	protein sleepless
FBpp0184520	proteasome subunit alpha type
FBpp0204079	arginine trna ligase
FBpp0192689	nck interacting protein with sh domain
FBpp0237053	chitin binding type domain containing protein
FBpp0240500	trypsin
FBpp0185036	transmembrane protein
FBpp0196193	ubiquitin carboxyl terminal hydrolase
FBpp0194418	non specific serine threonine protein kinase
FBpp0267109	ecdysone induced protein 75b isoforms c d
FBpp0265071	chitin binding type domain containing protein
GA17464-PA	dna topoisomerase 3
FBpp0255840	ring type domain containing protein
FBpp0117409	tetratricopeptide repeat protein
FBpp0259991	mushroom body defect protein
FBpp0165197	transcription factor btd
FBpp0149830	clip domain containing serine protease
FBpp0263096	ip08433p
FBpp0246445	transmembrane protein
FBpp0250698	nucleoprotein tpr
FBpp0130791	neugrin
FBpp0177869	cell adhesion molecule x1
FBpp0254745	btb domain containing protein
FBpp0190264	solute carrier organic anion transporter family member 5a1
FBpp0230843	carboxylesterase type b domain containing protein
FBpp0247212	protein dr
FBpp0213338	asparagine synthetase [glutamine hydrolyzing]
FBpp0149615	cg
FBpp0119917	dependent rna helicase
FBpp0317270	chromosome associated protein h2
FBpp0154955	cytochrome p450 4p1
FBpp0178378	gl
FBpp0193909	regulator of telomere elongation helicase protein
FBpp0128043	proton coupled amino acid transporter protein
FBpp0159982	estradiol 17 beta dehydrogenase
FBpp0317540	alpha glucosidase
FBpp0211024	platelet binding protein gspb
FBpp0176470	inner dynein arm light chain axonemal
FBpp0253445	armadillo repeat containing protein gudu
FBpp0075923	pupal cuticle protein edg 78e
FBpp0147061	elongation factor g mitochondrial
FBpp0240073	synaptic vesicle glycoprotein 2c
FBpp0152952	duf 243 domain containing protein
FBpp0134317	gd
FBpp0242940	tropomyosin 2
FBpp0157212	protein s isoprenylcysteine o methyltransferase
FBpp0087232	set and mynd domain containing 4 member
FBpp0234471	receptor protein tyrosine kinase
GA17628-PA	duf 58 domain containing protein
FBpp0235494	rhythmically expressed gene 5
FBpp0227601	f box domain containing protein
FBpp0288476	aminopeptidase
FBpp0189822	ribosomal rna processing protein
FBpp0321631	nose resistant to fluoxetine protein
FBpp0165643	cg
FBpp0247850	transcription associated protein
FBpp0267797	udp glucuronosyltransferase
FBpp0213356	cg
FBpp0225061	renin receptor
FBpp0131087	pre mrna processing factor
FBpp0258239	palmitoyltransferase
FBpp0176976	gl
FBpp0240436	zinc finger fyve domain containing protein
FBpp0159131	peptidase s1 domain containing protein
FBpp0252053	ras gef domain containing family member 1b
GA14795-PA	ecdysis triggering hormone
FBpp0246731	rho gtpase activating protein gacv
FBpp0249851	elongation of very long chain fatty acids protein
FBpp0150316	poly a rna polymerase mitochondrial central palm domain containing protein
FBpp0177427	kda heat and acid stable phosphoprotein
FBpp0240182	duf 243 domain containing protein
FBpp0084149	wasp family protein member
FBpp0172321	dystrophin isoforms a c f g h
FBpp0156452	serpin domain containing protein
FBpp0177961	zinc carboxypeptidase a
FBpp0192140	adam endopeptidase
FBpp0318760	1 acyl sn glycerol phosphate acyltransferase
FBpp0265035	kazal domain containing protein
FBpp0212065	gustatory receptor
FBpp0188987	mediator of rna polymerase ii transcription subunit
FBpp0229506	hydroxymethylglutaryl coa synthase
GA16743-PA	attacin c terminal domain containing protein
FBpp0246528	pickpocket protein
FBpp0238728	cg
FBpp0116596	sine oculis binding protein
FBpp0313780	peroxisomal membrane protein 11c
FBpp0226387	chromosomal serine threonine protein kinase jil
FBpp0129986	sodium coupled monocarboxylate transporter x1
FBpp0124351	ubiquitin conjugating enzyme e2 s
FBpp0315532	venom serine protease
FBpp0075806	fi19813p1
GA12346-PA	spatacsin c terminal domain containing protein
FBpp0167238	prothoracicotropic hormone
FBpp0188182	protein d2
FBpp0159031	n acetylgalactosaminide beta galactosyltransferase
FBpp0225434	cysteine proteinase cg x1
FBpp0174915	cytochrome p450 6g1
FBpp0265958	tox high mobility group box family member 4
FBpp0236152	gustatory receptor
FBpp0312014	unknown protein
FBpp0170906	dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex
FBpp0181801	ecdysis triggering hormone
FBpp0233153	protein twisted gastrulation
FBpp0224822	clip domain containing serine protease
FBpp0157407	histone h4
FBpp0235214	f box lrr repeat protein x2
FBpp0166965	mitochondrial sodium hydrogen exchanger 9b2
FBpp0244507	fibrinogen c terminal domain containing protein
FBpp0151421	scavenger receptor class b member
FBpp0160695	chromosome transmission fidelity protein
FBpp0214621	gd
FBpp0204698	gm
FBpp0205668	mitochondrial processing peptidase subunit beta
FBpp0142694	zinc finger protein
GA13786-PA	sh domain containing protein
FBpp0251713	regulatory protein sir
FBpp0125480	protein gone early
FBpp0316622	segment polarity protein dishevelled
FBpp0129304	kinesin motor domain containing protein
FBpp0134718	ab hydrolase domain containing protein
FBpp0168673	cell division protein kinase
FBpp0149893	lysozyme
GA14853-PA	carboxypeptidase n subunit
FBpp0142770	plasminogen activator inhibitor rna binding protein
FBpp0146773	protein folded gastrulation
FBpp0231439	serine rich adhesin for platelets x1
FBpp0126484	phosphoglycerate mutase
FBpp0150914	heat shock protein 23
FBpp0315140	lipase domain containing protein
FBpp0255803	gd
FBpp0197260	alpha carbonic anhydrase domain containing protein
FBpp0149300	cell death inducing p53 target protein
FBpp0148439	tir domain containing protein
FBpp0186506	cathepsin propeptide inhibitor domain containing protein
FBpp0270879	odorant receptor
FBpp0159493	fibrous sheath cabyr binding protein
FBpp0244338	peptidase a1 domain containing protein
FBpp0135304	trithorax group protein osa
FBpp0225439	ccdc 74 n terminal domain containing protein
FBpp0259893	integrase catalytic domain containing protein
FBpp0152574	telomere binding protein cav
FBpp0165574	e3 ubiquitin protein ligase
FBpp0244696	udp glucuronosyltransferase
FBpp0270287	histone deacetylase
FBpp0117396	pith domain containing protein
FBpp0135818	tachykinin peptides receptor 86c
FBpp0190677	shsp domain containing protein
FBpp0324124	dna rna non specific endonuclease pyrophosphatase phosphodiesterase domain containing protein
FBpp0250842	nadp dependent malic enzyme
FBpp0179759	dynein light chain 1
FBpp0139808	specific 3 5 phosphodiesterase
FBpp0139839	c2 nt type domain containing protein
FBpp0155265	phenoloxidase activating factor
FBpp0149177	gh
FBpp0231593	allatostatin c
GA13366-PA	cyclin domain containing protein
FBpp0142677	cytochrome c oxidase subunit 7c mitochondrial
FBpp0173713	kinase suppressor of ras
FBpp0077404	inhibin beta a chain
FBpp0143471	gd
FBpp0164959	rhophilin
FBpp0230968	tata element modulatory factor protein
FBpp0237068	transmembrane and coiled coil domains protein
FBpp0155442	nf kappa b essential modulator
FBpp0232443	phosphatidate phosphatase x1
FBpp0154186	sulfhydryl oxidase
FBpp0147094	bpti kunitz inhibitor domain containing protein
FBpp0224709	zinc finger protein xfin
FBpp0195973	protein daughter of sevenless
FBpp0258152	cdr abc transporter domain containing protein
FBpp0211577	non specific serine threonine protein kinase
FBpp0198116	epidermal growth factor receptor kinase substrate protein
FBpp0149225	mediator of rna polymerase ii transcription subunit
FBpp0185189	dna polymerase subunit gamma mitochondrial
FBpp0148682	inositol monophosphatase
FBpp0168977	serine protease inhibitor 42dd
FBpp0145428	insulin gene enhancer protein isl
FBpp0131371	gamma butyrobetaine dioxygenase
FBpp0170836	transmembrane protein 17b
FBpp0202133	gd
FBpp0203237	nodb homology domain containing protein
FBpp0230204	cg
FBpp0232624	protein numb x1
FBpp0169589	cytochrome p450 4p1
GA18279-PA	voltage dependent calcium channel subunit alpha delta
FBpp0187879	neprilysin
FBpp0236459	cilia and flagella associated protein
FBpp0229900	axotactin
FBpp0147901	kat regulatory nsl complex subunit
FBpp0227593	trna guanine 37 n1 methyltransferase
FBpp0121117	modular serine protease
FBpp0079709	v type proton atpase proteolipid subunit
FBpp0215460	regucalcin x1
FBpp0269400	major facilitator superfamily mfs profile domain containing protein
FBpp0136929	set domain containing protein smyda
FBpp0232488	multiple epidermal growth factor domains protein
GA10417-PA	peptidase s1 domain containing protein
FBpp0202940	companion of reaper protein
FBpp0121096	abnormal spindle microcephaly associated protein
FBpp0293553	rab interacting molecule
FBpp0207684	solute carrier organic anion transporter family member
FBpp0233191	maestro heat repeat containing protein family member
FBpp0248600	peptidase s1 domain containing protein
FBpp0131214	cg
FBpp0086632	duf 4780 domain containing protein
FBpp0128018	sh domain containing protein
FBpp0258390	peroxisomal membrane protein pex
FBpp0230833	c type lectin protein
GA11276-PA	carboxypeptidase n subunit
FBpp0154693	exostosin protein
FBpp0169364	regulatory protein zeste
FBpp0180284	hect and rld domain containing e3 ubiquitin ligase 4
FBpp0185913	duf 4729 domain containing protein
FBpp0246380	tectonin beta propeller repeat containing protein
FBpp0258299	duf 4794 domain containing protein
FBpp0126903	trypsin
FBpp0151776	peptidyl prolyl cis trans isomerase g
FBpp0290503	disks large tumor suppressor protein
FBpp0192981	protein strawberry notch
FBpp0268647	gg
FBpp0118852	intraflagellar transport protein
FBpp0133487	tonsoku protein
FBpp0118251	peroxidase
FBpp0127618	fam n terminal domain containing protein
FBpp0194176	cilia and flagella associated protein
FBpp0100145	peptidase s1 domain containing protein
FBpp0185263	lysosomal dipeptide transporter mfsd
FBpp0318266	eyegone
FBpp0252773	d virilis ulysses retrotransposon
FBpp0262988	syntaxin n terminal domain containing protein
FBpp0220975	transmembrane protein
FBpp0146576	large ribosomal subunit protein ul
FBpp0160103	polypeptide n acetylgalactosaminyltransferase
FBpp0232871	protein wech
FBpp0153658	drosophila melanogaster
FBpp0188044	salivary glue protein sgs
FBpp0239359	hsc interacting protein
FBpp0265005	brother of bearded protein a
FBpp0171803	parafibromin
FBpp0259095	bzip domain containing protein
