Annotee_Identifier	Human_Readable_Description
CARHR229630.1	calmodulin protein
AT3G47060.1	atp dependent zinc metalloprotease ftsh 7
CARHR051990.1	zinc transporter 4
AT2G36350.1	serine threonine protein kinase
CARHR152090.1	calcium binding protein
CARHR182330.1	cobra protein
AT1G36280.2	adenylosuccinate lyase
CARHR234330.1	v type proton atpase subunit
AT3G11670.2	digalactosyldiacylglycerol synthase 1 chloroplastic
AT1G25320.1	inactive leucine rich repeat receptor protein kinase
CARHR262950.2	trans acting enoyl reductase
AT1G13220.2	nuclear matrix constituent protein
AT2G45810.1	atp dependent rna helicase dhh
CARHR082700.1	phosphatidylinositol 4 phosphate 5 kinase type
AT1G78560.1	ileal sodium bile acid cotransporter
AT1G31510.1	f box protein
CARHR009170.1	calreticulin
CARHR139770.1	endoglucanase
AT3G23650.1	receptor protein kinase
CARHR086050.1	u6 snrna associated sm protein lsm
CARHR097050.1	calcium transporting atpase 1 plasma membrane
AT5G15120.1	plant cysteine oxidase
CARHR098270.1	protein time for coffee
AT3G44310.3	bifunctional nitrilase nitrile hydratase
CARHR050370.1	calcium dependent protein kinase
AT5G37020.1	auxin response factor
AT3G54620.2	bzip transcription factor risbz
AT1G74790.1	hhip protein
AT1G27530.1	ubiquitin fold modifier conjugating enzyme
AT2G43210.1	ubx domain containing protein 1
AT4G19560.1	cyclin t1 1
AT5G13940.1	leucine aminopeptidase 2 chloroplastic
CARHR254430.1	mads box transcription factor
CARHR112670.1	f box kelch repeat protein
AT2G32410.3	nedd activating enzyme e1 regulatory subunit
AT2G20870.1	unknown protein
AT3G09370.2	transcription factor myb
AT5G66530.2	unknown protein
CARHR117080.1	glutamate receptor
CARHR080640.2	heavy metal associated isoprenylated plant protein
CARHR225970.3	cadmium induced protein as
CARHR167450.1	glucan endo beta glucosidase basic
AT1G48175.3	trna specific adenosine deaminase
CARHR027390.3	yth domain containing family protein
CARHR125780.2	type inositol polyphosphate 5 phosphatase
AT2G36640.2	late embryogenesis abundant protein
CARHR146820.2	dihydrolipoyllysine residue acetyltransferase component of pyruvate dehydrogenase complex
AT1G30810.2	lysine specific demethylase
CARHR102510.1	agamous mads box protein agl
CARHR267160.1	flavonol synthase flavanone 3 hydroxylase
CARHR067670.1	ring h2 finger protein atl
CARHR211190.1	amino acid transporter
AT2G01590.2	unknown protein
CARHR141200.1	sam and u box domain containing protein
CARHR157290.1	histone deacetylase
AT4G36380.2	cytochrome p450
CARHR077940.1	auxin responsive protein saur
CARHR272440.1	protein trichome birefringence
CARHR091470.1	ribonuclease z 2
AT5G47630.3	acyl carrier protein 1
CARHR026280.1	wat protein
CARHR284680.1	methionine trna ligase
AT1G07745.2	dna repair protein rad
CARHR164050.1	protein nrt ptr family
AT5G27270.5	pentatricopeptide repeat containing protein
AT3G60050.2	pentatricopeptide repeat containing protein
CARHR009430.1	nuclear envelope associated protein
CARHR183470.3	adenosine 5 monophosphoramidase hnt
AT4G01330.2	proline rich receptor protein kinase perk
CARHR125090.1	gamma secretase subunit aph
AT4G37710.1	vq motif containing protein
CARHR223940.4	protein swollen
CARHR028050.2	gdsl esterase lipase
CARHR124910.1	actin protein 2 3 complex subunit
AT4G34020.1	parkinson disease protein
AT2G05400.3	math domain and coiled coil containing protein
AT2G16365.5	protein photoperiodic control of hypocotyl
CARHR044620.1	dna directed rna polymerases i ii and iii subunit rpabc
CARHR180490.1	delta 3 5 2 4 dienoyl coa isomerase mitochondrial
CARHR024530.1	formin protein
CARHR270480.2	stromal processing peptidase chloroplastic
AT5G51340.1	sister chromatid cohesion protein scc
CARHR057730.1	26s proteasome non atpase regulatory subunit
AT3G49430.7	serine arginine rich splicing factor
AT2G41710.4	ap ethylene responsive transcription factor
AT4G34140.3	g patch domain containing protein
CARHR035640.1	protein bypass
AT3G61320.4	voltage dependent chloride channel 1 chloroplastic
CARHR012300.2	lysine specific demethylase jmj
AT3G44700.2	upf protein
AT5G45430.1	serine threonine protein kinase mak
CARHR180140.1	1 aminocyclopropane carboxylate oxidase
AT5G36870.2	1 3 beta glucan synthase component
AT1G74380.1	xyloglucan 6 xylosyltransferase
CARHR125260.2	small ribosomal subunit protein us
CARHR222150.1	serine threonine protein phosphatase 2a kda regulatory subunit
AT4G14110.1	cop signalosome complex subunit
CARHR001660.1	transcription factor pif
AT3G55070.2	protein fyv
AT2G03505.2	plasmodesmata callose binding protein
AT1G28100.5	protein neoxanthin deficient
AT3G15350.1	xylosyltransferase
AT2G46810.3	transcription factor bhlh
CARHR205080.1	atp dependent helicase lhr core protein
AT5G36870.5	1 3 beta glucan synthase component
AT1G32360.1	zinc finger ccch domain containing protein
AT1G16930.2	f box fbd protein
CARHR049750.1	hyperosmolality gated ca + permeable channel
CARHR249820.2	trna 34 2 o methyltransferase regulator
CARHR277170.1	bromodomain containing factor
AT5G53980.1	homeobox leucine zipper protein
AT5G24120.1	rna polymerase sigma factor rpos
AT3G07630.2	arogenate dehydratase prephenate 1
AT2G22540.1	mads box transcription factor
AT3G02290.6	associated e3 ubiquitin protein ligase
AT5G48400.1	glutamate receptor
CARHR253520.1	f box fbd protein
CARHR073870.1	endoribonuclease dicer
AT2G24450.1	fasciclin arabinogalactan protein
CARHR142680.1	pectinesterase
CARHR171730.1	sam and u box domain containing protein
AT1G10600.3	26s proteasome non atpase regulatory subunit
CARHR102250.3	zinc finger bed domain containing protein ricesleeper
CARHR070780.1	histone lysine n methyltransferase h3 specific
AT4G19180.1	ectonucleoside triphosphate diphosphohydrolase
AT1G05230.4	homeobox leucine zipper protein roc
CARHR273130.1	induced receptor serine threonine protein kinase
AT3G17500.1	f box protein
CARHR092160.1	f box protein
AT3G06190.2	btb poz and math domain containing protein
AT3G61720.1	multiple c2 domain and transmembrane region protein
AT4G25600.4	prolyl 4 hydroxylase
AT3G58310.1	cysteine rich repeat secretory protein
AT1G18160.1	serine threonine protein kinase
CARHR272240.3	e3 ubiquitin protein ligase listerin
CARHR184370.5	mitochondrial carrier protein coac
CARHR166410.1	sororin protein
CARHR253630.1	f box protein
CARHR112730.1	phenylalanine trna ligase alpha subunit
AT2G45220.1	pectinesterase
AT3G18070.6	beta glucosidase
CARHR077610.1	disease resistance protein rps
AT3G09040.3	pentatricopeptide repeat containing protein
CARHR226050.2	ectonucleoside triphosphate diphosphohydrolase
CARHR288720.1	rna helicase aquarius
CARHR080970.1	hydroxyproline o galactosyltransferase galt
CARHR161450.1	digeranylgeranylglyceryl phosphate synthase
AT5G04320.2	shugoshin
CARHR070020.1	rich rna binding protein 4
AT2G42570.1	protein trichome birefringence
CARHR148140.3	regulation of nuclear pre mrna domain containing protein
AT4G20680.1	cysteine rich repeat secretory protein
AT1G67455.2	f box protein
CARHR251100.3	f box protein
CARHR218400.2	protein iq domain
AT1G48760.1	ap complex subunit
CARHR168810.1	math domain and coiled coil containing protein
AT2G01190.1	raf serine threonine protein kinase
AT1G62540.2	flavin containing monooxygenase fmo gs ox
AT2G03340.1	wrky transcription factor
AT5G20080.1	nadh cytochrome b5 reductase 2
CARHR019130.1	tetraspanin
CARHR242970.1	sh domain containing protein
AT1G11410.3	g type lectin s receptor serine threonine protein kinase
CARHR241830.1	glioma pathogenesis protein
CARHR121920.3	myosin
CARHR271620.3	histone acetyltransferase type b catalytic subunit
CARHR031520.1	uv b induced protein chloroplastic
CARHR151610.1	fatty acyl coa reductase 2
CARHR079560.1	heavy metal associated isoprenylated plant protein
AT4G13850.4	glycine rich rna binding protein 2
CARHR012600.3	disease resistance protein
CARHR136370.1	protein strictosidine synthase
CARHR294040.6	glycosyltransferase domain containing protein
AT2G33385.1	actin protein 2 3 complex subunit
AT5G02870.1	large ribosomal subunit protein ul
AT3G22845.2	transmembrane emp domain containing protein p24beta3
AT1G68410.4	protein phosphatase 2c
AT2G30900.2	protein trichome birefringence
AT5G38000.3	2 alkenal reductase nadp dependent
CARHR077270.1	utp glucose phosphate uridylyltransferase
CARHR200210.1	repressor of rna polymerase iii transcription
CARHR284660.1	large ribosomal subunit protein
CARHR193490.1	bifunctional dihydroflavonol 4 reductase
CARHR265290.1	low temperature induced kda protein
AT3G22420.2	serine threonine protein kinase wnk
AT5G56420.3	f box fbd protein
AT2G05400.2	math domain and coiled coil containing protein
AT4G15885.1	kinesin protein kin
AT1G29120.3	unknown protein
CARHR029070.1	proline rich receptor protein kinase perk
CARHR268650.1	dna topoisomerase
CARHR089740.1	zinc finger bed domain containing protein
AT1G01350.1	pre mrna splicing factor cwc
AT1G51870.1	induced receptor serine threonine protein kinase
AT1G58470.2	heterogeneous nuclear ribonucleoprotein d
AT5G09800.1	u box domain containing protein
AT4G17300.1	asparagine trna ligase
CARHR012300.1	lysine specific demethylase 3a
AT2G24150.1	progestin and receptor member
CARHR218380.1	atp dependent dna helicase pif
CARHR232510.4	atp dependent helicase nuclease subunit a
CARHR289050.1	splicing factor 3b subunit
AT5G20360.5	protein phox
AT2G47630.2	caffeoylshikimate esterase
AT5G05430.3	nucleolin
AT1G05590.1	beta hexosaminidase subunit
CARHR096960.1	f box protein
CARHR098840.1	dna directed rna polymerase subunit protein
CARHR130760.1	fructose bisphosphate aldolase 1
AT1G72250.4	kinesin protein kin
AT3G05970.1	long chain fatty acid coa ligase
CARHR050880.2	f box kelch repeat protein
CARHR284280.1	f box protein
AT4G02590.2	bhlh transcription factor
AT2G19940.1	n acetyl gamma glutamyl phosphate reductase
AT1G61690.1	lateral signaling target protein
AT3G23715.1	unknown protein
AT5G52690.1	heavy metal associated isoprenylated plant protein
CARHR175000.1	pentatricopeptide repeat containing protein chloroplastic
AT4G14520.4	dna directed rna polymerase subunit protein
CARHR290510.2	cell cycle protein kinase
AT4G10130.5	dnaj subfamily member
CARHR190870.3	f box fbd protein
CARHR196910.1	protein lead sensitive
AT3G28210.1	zinc finger an and protein
AT3G12720.1	myb transcription factor
AT5G01940.3	eukaryotic translation initiation factor subunit beta
CARHR201370.1	k + efflux antiporter
CARHR019850.1	containing monooxygenase
AT1G49230.1	ring h2 finger protein atl
AT1G13770.2	rus family member
AT2G02710.4	blue light activated histidine kinase
AT1G03920.1	serine threonine protein kinase
AT5G56280.1	cop signalosome complex subunit
CARHR201320.1	protein conserved in the green lineage and diatoms 27 chloroplastic
CARHR215290.2	glutathione s transferase
AT1G80690.2	deubiquitinase desi
CARHR205760.1	respiratory burst oxidase protein
CARHR046050.2	prevacuolar sodium hydrogen exchanger
CARHR273510.1	unknown protein
AT5G52200.2	protein phosphatase inhibitor
AT5G16170.1	glycosyltransferase bc
CARHR147080.1	ankyrin repeat protein skip
AT5G39720.2	aig protein
CARHR015650.1	rhophilin
CARHR121780.2	dirigent protein
AT5G21120.2	ethylene insensitive protein
AT1G06440.1	protein what s this factor 1 chloroplastic
AT5G07100.2	wrky transcription factor
CARHR124780.1	transcription factor myb
AT5G24318.4	glucan endo beta glucosidase
AT5G40550.4	saga associated factor
ATMG00660.1	unknown protein
AT3G02540.2	uv excision repair protein rad
AT5G48880.1	3 ketoacyl coa thiolase 1 peroxisomal
AT1G72560.2	exportin t
AT1G27120.1	hydroxyproline o galactosyltransferase galt
AT4G25835.1	aaa atpase
CARHR163790.1	small ribosomal subunit protein es
CARHR196660.1	protein phosphate starvation response
AT3G46640.2	two component response regulator orr
AT2G05380.1	glycine rich protein
AT3G27650.1	lob domain containing protein
CARHR068210.1	two component response regulator
CARHR074220.1	pentatricopeptide repeat containing protein mitochondrial
AT5G38290.2	peptidyl trna hydrolase
AT4G15660.1	monothiol glutaredoxin
AT5G24520.2	glutamate rich wd repeat containing protein
AT3G49430.4	serine arginine rich splicing factor
CARHR095700.2	kinesin protein kin
CARHR272270.2	phagocyte signaling impaired protein
CARHR162880.1	pyruvate kinase 1
CARHR132350.2	peroxiredoxin 2c
AT5G02270.2	atp binding cassette sub family a member
CARHR015560.2	sulfhydryl oxidase
AT3G46280.1	leucine rich repeat receptor serine threonine protein kinase
AT3G46730.1	disease resistance protein rpp
CARHR274090.4	e3 sumo protein ligase siz
AT3G45790.1	raf serine threonine protein kinase
AT3G24200.2	ubiquinone biosynthesis monooxygenase coq mitochondrial
AT1G12230.1	transaldolase
CARHR000690.2	sam and u box domain containing protein
CARHR063910.1	ubiquitin conjugating enzyme e2 variant
AT4G39380.3	tsl kinase interacting protein
AT5G55170.2	small ubiquitin modifier
CARHR073850.1	mrna export factor
AT3G42570.1	peroxidase
CARHR098810.2	dna repair protein rad
AT2G26590.3	proteasomal ubiquitin receptor adrm
AT1G30570.1	receptor protein kinase
AT4G02570.2	cullin
CARHR033620.1	type inositol polyphosphate 5 phosphatase
AT2G05920.1	subtilisin protease sbt
AT5G26880.1	trna cytidine 34 2 o methyltransferase
AT1G49030.1	protein plant cadmium resistance
AT4G19490.1	vacuolar protein sorting associated 54
AT4G01540.1	nac domain containing protein
AT3G12250.3	bzip transcription factor tga
AT3G60720.3	plasmodesmata located protein
AT2G01210.1	inactive leucine rich repeat receptor protein kinase
CARHR063060.1	serine threonine protein phosphatase 1 catalytic subunit
CARHR106460.3	glucan endo beta glucosidase
CARHR013450.1	cytochrome p450
AT2G46950.2	cytochrome p450
CARHR146680.1	allene oxide cyclase 1 chloroplastic
AT1G10050.3	endo beta xylanase
CARHR168910.1	atp dependent rna helicase
AT5G23060.2	calcium sensing receptor chloroplastic
AT2G28250.2	proline rich receptor protein kinase perk
CARHR130910.1	sulfite exporter taue safe family protein
CARHR154130.1	respiratory burst oxidase protein
CARHR243230.1	protein nuclear fusion defective
CARHR004500.1	general transcription and factor iih subunit
CARHR244310.1	cytoplasmic trna 2 thiolation protein
CARHR248320.3	phospholipase d alpha
AT1G42540.3	glutamate receptor
CARHR278320.2	fructose bisphosphatase 1
AT5G05660.1	nf x1 type zinc finger protein nfxl
CARHR000230.4	trna wybutosine synthesizing protein
AT3G17650.2	metal nicotianamine transporter ysl
AT1G61410.1	dna repair protein xrcc
CARHR139710.2	protoheme ix farnesyltransferase
AT5G65460.4	kinesin protein kin
AT2G07695.1	cytochrome c oxidase subunit 1+2
CARHR278490.1	dna repair protein xrcc
AT1G18950.3	ddt domain containing protein ddr
AT1G10230.1	skp protein
CARHR173120.1	caffeoylshikimate esterase
AT5G13130.1	morc family cw type zinc finger protein
CARHR003640.1	ethylene receptor
CARHR103140.1	protein down regulated in dif
AT4G24860.4	outer mitochondrial transmembrane helix translocase
AT1G74920.2	betaine aldehyde dehydrogenase
CARHR002040.1	mortality factor protein
AT3G57370.1	transcription initiation factor iib
CARHR191560.1	protein what s this factor 1 chloroplastic
AT5G43960.2	nuclear transport factor
AT4G35000.1	l ascorbate peroxidase 1 cytosolic
CARHR134710.1	eukaryotic translation initiation factor
AT4G39170.2	phosphatidylinositol phosphatidylcholine transfer protein sfh
AT1G59870.1	abc transporter g family member
CARHR063210.1	l type lectin domain containing receptor kinase 3
AT4G26555.3	peptidyl prolyl cis trans isomerase fkbp chloroplastic
CARHR240390.1	cytochrome b c1 complex subunit 7 1
AT1G55730.1	vacuolar cation proton exchanger
AT4G02710.1	protein networked
AT2G30740.15	proline rich receptor protein kinase perk
AT2G23610.1	methylesterase
AT4G38230.2	calcium dependent protein kinase
AT2G04070.1	protein detoxification
AT1G61420.1	g type lectin s receptor serine threonine protein kinase
AT5G14770.1	pentatricopeptide repeat containing protein mitochondrial
AT5G02620.1	ankyrin repeat containing protein
AT3G42310.1	transcription factor bhlh
AT1G22700.1	tetratricopeptide repeat domain containing protein pyg chloroplastic
CARHR008100.3	dna polymerase epsilon catalytic subunit a
CARHR065990.1	anoctamin protein
AT2G40160.2	xylan o acetyltransferase
CARHR161840.1	protein gamma response
CARHR106570.2	small ribosomal subunit protein es
AT4G18905.1	histone binding protein rbbp
CARHR167780.2	guanylate kinase
AT4G24840.1	conserved oligomeric golgi complex subunit
CARHR246530.1	unknown protein
CARHR080080.1	phospholipase d alpha
CARHR255980.2	polyadenylate binding protein interacting
CARHR212890.1	6 phosphogluconate dehydrogenase decarboxylating 1
CARHR068370.1	pathogenesis thaumatin protein
CARHR172460.2	glutamate proline trna ligase
AT1G06143.1	pentatricopeptide repeat containing protein
AT3G43960.1	kdel tailed cysteine endopeptidase cep
AT1G51930.1	ring h2 finger protein atl
CARHR016830.1	cell cycle control protein 50a
AT4G31910.1	anthranilate n benzoyltransferase protein
AT1G18330.2	protein reveille
AT2G44980.3	chromodomain helicase dna binding protein
CARHR104680.2	non specific lipid transfer protein gpi anchored
CARHR158320.1	pentatricopeptide repeat containing protein
