genids	species	highest_mean_genid
NP_058935.2, NP_058936.1	Rattus norvegicus	NP_058935.2
XP_006245729.1, NP_059039.2	Rattus norvegicus	XP_006245729.1
XP_006241111.1, NP_062569.2	Rattus norvegicus	NP_062569.2
NP_598242.1, NP_067700.2	Rattus norvegicus	NP_598242.1
NP_446253.2, NP_072130.1	Rattus norvegicus	NP_446253.2
XP_002730104.3, NP_073156.3, XP_038940610.1	Rattus norvegicus	XP_038940610.1
NP_075234.1, NP_446026.1	Rattus norvegicus	NP_075234.1
NP_786942.1, NP_075414.2	Rattus norvegicus	NP_075414.2
XP_006240382.1, NP_112605.1	Rattus norvegicus	NP_112605.1
NP_612523.1, NP_113760.2	Rattus norvegicus	NP_612523.1
NP_612557.1, NP_114021.2	Rattus norvegicus	NP_612557.1
XP_574671.7, NP_114029.1	Rattus norvegicus	NP_114029.1
NP_445779.2, NP_775126.1	Rattus norvegicus	NP_445779.2
XP_017455466.1, NP_446306.1	Rattus norvegicus	NP_446306.1
NP_569091.2, NP_787040.2, NP_958828.1	Rattus norvegicus	NP_787040.2
NP_579830.2, XP_002730032.2	Rattus norvegicus	NP_579830.2
NP_612524.1, NP_775426.1	Rattus norvegicus	NP_775426.1
XP_038955084.1, NP_612539.2	Rattus norvegicus	XP_038955084.1
NP_620179.1, XP_226743.4	Rattus norvegicus	XP_226743.4
NP_714961.2, XP_063140673.1	Rattus norvegicus	NP_714961.2
NP_775455.1, NP_999988.1	Rattus norvegicus	NP_775455.1
NP_783177.1, NP_783178.1, NP_783180.2, NP_783181.2, NP_001009975.1	Rattus norvegicus	NP_001009975.1
XP_038936438.2, NP_954678.1	Rattus norvegicus	NP_954678.1
NP_982296.2, XP_006231028.3	Rattus norvegicus	NP_982296.2
NP_998727.1, XP_063135447.1	Rattus norvegicus	NP_998727.1
NP_999998.1, NP_999999.1	Rattus norvegicus	NP_999999.1
XP_345599.3, XP_001077182.1	Rattus norvegicus	XP_345599.3
XP_038953191.1, XP_038953199.1, XP_063136643.1, XP_001077719.1	Rattus norvegicus	XP_038953191.1
XP_002728463.3, XP_038951066.1, XP_038951111.1, XP_038951197.1	Rattus norvegicus	XP_002728463.3
XP_003749384.1, XP_227351.2	Rattus norvegicus	XP_227351.2
XP_038962018.1, XP_003749635.1	Rattus norvegicus	XP_003749635.1
XP_003751035.1, XP_038943481.1	Rattus norvegicus	XP_038943481.1
XP_038948470.1, XP_003751380.1	Rattus norvegicus	XP_038948470.1
XP_038956211.1, XP_003752202.1	Rattus norvegicus	XP_003752202.1
XP_006228422.2, XP_038953270.1	Rattus norvegicus	XP_038953270.1
XP_008757509.1, XP_006228700.2	Rattus norvegicus	XP_008757509.1
XP_006232873.1, XP_006232886.1, XP_006232887.1, XP_038959258.1	Rattus norvegicus	XP_006232887.1
XP_038962512.1, XP_575198.5, XP_006234761.1, XP_006234762.1	Rattus norvegicus	XP_006234762.1
XP_038964799.1, XP_006237642.2	Rattus norvegicus	XP_038964799.1
XP_006248182.1, XP_006248158.1, XP_006248159.1, XP_063127034.1, XP_063127032.1	Rattus norvegicus	XP_006248159.1
XP_063127035.1, XP_063127036.1, XP_006248166.1	Rattus norvegicus	XP_006248166.1
XP_063136606.1, XP_006250484.1	Rattus norvegicus	XP_063136606.1
XP_006254139.2, XP_006254195.2	Rattus norvegicus	XP_006254195.2
XP_006255943.1, XP_574713.5	Rattus norvegicus	XP_006255943.1
XP_008759494.1, XP_038959257.1	Rattus norvegicus	XP_008759494.1
XP_008766829.1, XP_038944660.1	Rattus norvegicus	XP_038944660.1
XP_008768847.1, XP_063130469.1	Rattus norvegicus	XP_063130469.1
XP_008769388.1, XP_038950992.1	Rattus norvegicus	XP_038950992.1
XP_017449405.3, XP_063117415.1, XP_063117416.1, XP_063117417.1, XP_063117418.1, XP_063117419.1, XP_063117420.1, XP_063117421.1	Rattus norvegicus	XP_017449405.3
XP_017449405.3, XP_017449406.2, XP_063117414.1, XP_038967400.1, XP_038967401.1, XP_038967403.2, XP_038967404.1, XP_038967405.1, XP_063117415.1, XP_063117416.1, XP_063117417.1, XP_063117418.1, XP_063117419.1, XP_063117420.1, XP_063117421.1	Rattus norvegicus	XP_017449405.3
XP_017452438.1, XP_017453162.1	Rattus norvegicus	XP_017453162.1
XP_017453122.1, XP_038943131.1	Rattus norvegicus	XP_017453122.1
XP_017455813.1, XP_063131884.1	Rattus norvegicus	XP_017455813.1
XP_063131879.1, XP_017455817.2, XP_038950991.1, XP_063131880.1	Rattus norvegicus	XP_063131879.1
XP_038936504.1, XP_063119167.1	Rattus norvegicus	XP_038936504.1
XP_038936525.1, XP_063120533.1	Rattus norvegicus	XP_063120533.1
XP_038936559.2, XP_063120449.1	Rattus norvegicus	XP_038936559.2
XP_038938249.2, XP_038938242.2	Rattus norvegicus	XP_038938242.2
XP_063122387.1, XP_038938247.1	Rattus norvegicus	XP_063122387.1
XP_038940332.2, XP_038939397.2	Rattus norvegicus	XP_038940332.2
XP_063123898.1, XP_038940294.1	Rattus norvegicus	XP_063123898.1
XP_038940320.1, XP_038940322.1	Rattus norvegicus	XP_038940322.1
XP_063126143.1, XP_038942958.1, XP_063126135.1	Rattus norvegicus	XP_038942958.1
XP_038943789.1, XP_038943640.1	Rattus norvegicus	XP_038943640.1
XP_038943767.1, XP_038943785.1, XP_063126125.1, XP_038943784.1	Rattus norvegicus	XP_038943784.1
XP_038945903.1, XP_038945906.1	Rattus norvegicus	XP_038945903.1
XP_038945908.1, XP_038945907.1, XP_038946030.1	Rattus norvegicus	XP_038945908.1
XP_038949693.1, XP_063130848.1	Rattus norvegicus	XP_038949693.1
XP_038949694.1, XP_038949695.1	Rattus norvegicus	XP_038949694.1
XP_063130849.1, XP_038949699.1	Rattus norvegicus	XP_063130849.1
XP_002728463.3, XP_063131975.1, XP_038950871.1, XP_038951066.1, XP_038951111.1, XP_038951197.1	Rattus norvegicus	XP_002728463.3
XP_038950954.1, XP_038950923.1, XP_038950952.1, XP_038950953.1	Rattus norvegicus	XP_038950954.1
XP_038952194.1, XP_038952305.1	Rattus norvegicus	XP_038952194.1
XP_038952264.1, XP_063133011.1	Rattus norvegicus	XP_038952264.1
XP_038953753.1, XP_038953764.1, XP_038953777.1, XP_038952348.1	Rattus norvegicus	XP_038953753.1
XP_038953168.1, XP_038953169.1, XP_038953170.1, XP_038953171.1, XP_038953172.1, XP_038953174.1, XP_038953325.1	Rattus norvegicus	XP_038953168.1
XP_038953242.1, XP_038953247.1	Rattus norvegicus	XP_038953242.1
XP_063134826.1, XP_063134825.1, XP_038954015.2	Rattus norvegicus	XP_038954015.2
XP_063135690.1, XP_038955121.1	Rattus norvegicus	XP_063135690.1
XP_038956115.1, XP_038956119.1	Rattus norvegicus	XP_038956115.1
XP_008759494.1, XP_038959256.2, XP_063138841.1, XP_038959257.1	Rattus norvegicus	XP_038959256.2
XP_063138945.1, XP_063138949.1, XP_063138947.1, XP_038959582.1	Rattus norvegicus	XP_063138949.1
XP_038959588.1, XP_038959595.1, XP_038959586.1	Rattus norvegicus	XP_038959595.1
XP_038959599.1, XP_063138959.1, XP_063138956.1	Rattus norvegicus	XP_063138959.1
XP_063141308.1, XP_038961979.2, XP_063140616.1	Rattus norvegicus	XP_038961979.2
XP_038962015.1, XP_038962016.1, XP_038962017.1	Rattus norvegicus	XP_038962016.1
XP_063141179.1, XP_038962630.1, XP_038962634.1	Rattus norvegicus	XP_063141179.1
XP_038964422.2, XP_063142942.1, XP_063142958.1	Rattus norvegicus	XP_063142958.1
XP_038964883.1, XP_038964885.1	Rattus norvegicus	XP_038964885.1
XP_063117358.1, XP_038965406.1	Rattus norvegicus	XP_063117358.1
XP_038967482.1, XP_038967483.1, XP_038967484.1, XP_038967485.1, NP_001388886.1	Rattus norvegicus	NP_001388886.1
XP_063120620.1, XP_063120642.1, XP_063120459.1, XP_063120607.1	Rattus norvegicus	XP_063120642.1
XP_063121149.1, XP_063122017.1	Rattus norvegicus	XP_063122017.1
XP_063121734.1, XP_063121744.1	Rattus norvegicus	XP_063121744.1
XP_063122370.1, XP_063122371.1	Rattus norvegicus	XP_063122370.1
XP_063122383.1, XP_063122381.1, XP_063122386.1	Rattus norvegicus	XP_063122381.1
XP_063122397.1, XP_063122435.1	Rattus norvegicus	XP_063122397.1
XP_063123913.1, XP_063123906.1	Rattus norvegicus	XP_063123913.1
XP_063124044.1, XP_063124050.1	Rattus norvegicus	XP_063124044.1
XP_063124061.1, XP_063124063.1, XP_063124065.1	Rattus norvegicus	XP_063124061.1
XP_063124070.1, XP_063124073.1	Rattus norvegicus	XP_063124070.1
XP_063124082.1, XP_063124088.1	Rattus norvegicus	XP_063124082.1
XP_063124149.1, XP_063124160.1	Rattus norvegicus	XP_063124160.1
XP_063124669.1, XP_063125633.1	Rattus norvegicus	XP_063124669.1
XP_063127984.1, XP_063127829.1	Rattus norvegicus	XP_063127829.1
XP_063130820.1, XP_063130822.1	Rattus norvegicus	XP_063130820.1
XP_063130826.1, XP_063130827.1	Rattus norvegicus	XP_063130827.1
XP_063130844.1, XP_063130845.1	Rattus norvegicus	XP_063130845.1
XP_063130850.1, XP_063130852.1, XP_063131018.1	Rattus norvegicus	XP_063130852.1
XP_063131874.1, XP_063131875.1	Rattus norvegicus	XP_063131874.1
XP_063132905.1, XP_063132906.1	Rattus norvegicus	XP_063132905.1
XP_063132907.1, XP_063132908.1	Rattus norvegicus	XP_063132907.1
XP_063132912.1, XP_063132913.1	Rattus norvegicus	XP_063132913.1
XP_063134459.1, XP_063134463.1	Rattus norvegicus	XP_063134459.1
XP_063134468.1, XP_063134471.1	Rattus norvegicus	XP_063134468.1
XP_063134808.1, XP_063134809.1	Rattus norvegicus	XP_063134808.1
XP_063135722.1, XP_063135751.1	Rattus norvegicus	XP_063135751.1
XP_038955183.1, XP_063135726.1	Rattus norvegicus	XP_038955183.1
XP_063136467.1, XP_063136476.1	Rattus norvegicus	XP_063136467.1
XP_063136777.1, XP_063136774.1	Rattus norvegicus	XP_063136774.1
XP_063137121.1, XP_063122326.1	Rattus norvegicus	XP_063122326.1
XP_063140892.1, XP_063139252.1	Rattus norvegicus	XP_063140892.1
XP_063140929.1, XP_063140936.1, XP_063140938.1, XP_063140937.1, XP_063140934.1, XP_063140928.1, XP_063140930.1, XP_063140933.1, XP_063140935.1, XP_063140939.1, XP_063140932.1, XP_063140931.1	Rattus norvegicus	XP_063140930.1
XP_063143015.1, XP_063143016.1	Rattus norvegicus	XP_063143015.1
XP_063144746.1, XP_063144747.1	Rattus norvegicus	XP_063144746.1
